Transaction ID,Transaction Date,Settlement Date,Merchant,Transaction Type,Currency,Transaction Amount,Transaction Status,Reference Number,Source/System,Customer Reference
TXN100085,2026-07-23,2026-07-24,Digital Store,Purchase,INR,572.75,Completed,REF200085,External Settlement File,CUST1385
TXN100086,2026-07-08,2026-07-09,Retailer B,Purchase,INR,1290.05,Completed,REF200086,External Settlement File,CUST1095
TXN100087,2026-07-28,2026-07-29,Retailer B,Purchase,INR,1183.63,Completed,REF200087,External Settlement File,CUST9168
TXN100088,2026-07-13,2026-07-15,Travel Co,Purchase,INR,462.83,Completed,REF200088,External Settlement File,CUST4247
TXN100089,2026-07-31,2026-08-02,Travel Co,Purchase,INR,799.25,Pending,REF200089,External Settlement File,CUST5125
TXN100090,2026-07-17,2026-07-18,Food Services,Refund,INR,1164.65,Completed,REF200090,External Settlement File,CUST2592
TXN100091,2026-07-07,2026-07-08,Food Services,Purchase,INR,2519.08,Completed,REF200091,External Settlement File,CUST3873
TXN100092,2026-07-12,2026-07-15,Retailer A,Purchase,EUR,424.07,Completed,REF200092,External Settlement File,CUST5428
TXN100093,2026-07-10,2026-07-11,Food Services,Purchase,INR,2817.02,Completed,REF200093,External Settlement File,CUST2155
TXN100094,2026-07-17,2026-07-18,Retailer A,Purchase,USD,760.82,Completed,REF200094,External Settlement File,CUST3022
TXN100095,2026-07-24,2026-07-25,Utility Co,Purchase,INR,1235.21,Completed,REF200095,External Settlement File,CUST4350
TXN100096,2026-07-02,2026-07-03,Retailer B,Purchase,GBP,735.81,Completed,REF200096,External Settlement File,CUST6002
TXN100097,2026-07-11,2026-07-13,Digital Store,Purchase,INR,962.72,Completed,REF200097,External Settlement File,CUST9774
TXN100098,2026-07-19,2026-07-20,Retailer A,Purchase,INR,735.1,Completed,REF200098,External Settlement File,CUST6190
TXN100099,2026-07-25,2026-07-28,Travel Co,Purchase,INR,791.98,Completed,REF200099,External Settlement File,CUST9534
TXN100100,2026-07-27,2026-07-28,Utility Co,Purchase,INR,709.3,Completed,REF200100,External Settlement File,CUST5907
TXN100101,2026-07-16,2026-07-17,Travel Co,Reversal,INR,585.1,Pending,REF200101,External Settlement File,CUST7910
TXN100102,2026-07-14,2026-07-16,Travel Co,Refund,INR,1283.81,Reversed,REF200102,External Settlement File,CUST9793
TXN100103,2026-07-07,2026-07-08,Travel Co,Purchase,INR,1521.99,Completed,REF200103,External Settlement File,CUST8981
TXN100104,2026-07-22,2026-07-24,Utility Co,Purchase,USD,1441.61,Completed,REF200104,External Settlement File,CUST9712
TXN100105,2026-07-27,2026-07-28,Retailer B,Purchase,INR,536.43,Completed,REF200105,External Settlement File,CUST8098
TXN100106,2026-07-10,2026-07-13,Retailer A,Purchase,INR,379.96,Pending,REF200106,External Settlement File,CUST6920
TXN100107,2026-07-02,2026-07-05,Retailer A,Purchase,INR,847.96,Completed,REF200107,External Settlement File,CUST8503
TXN100108,2026-07-19,2026-07-21,Food Services,Purchase,INR,833.25,Completed,REF200108,External Settlement File,CUST3077
TXN100109,2026-07-27,2026-07-30,Travel Co,Purchase,INR,262.67,Completed,REF200109,External Settlement File,CUST7055
TXN100110,2026-07-21,2026-07-22,Utility Co,Purchase,INR,1401.02,Completed,REF200110,External Settlement File,CUST9700
TXN100111,2026-07-01,2026-07-02,Retailer A,Purchase,INR,462.53,Completed,REF200111,External Settlement File,CUST5377
TXN100112,2026-07-28,2026-07-29,Food Services,Purchase,INR,789.18,Completed,REF200112,External Settlement File,CUST9162
TXN100113,2026-07-14,2026-07-16,Travel Co,Purchase,INR,1203.34,Completed,REF200113,External Settlement File,CUST1876
TXN100114,2026-07-20,2026-07-22,Retailer B,Purchase,EUR,3492.27,Completed,REF200114,External Settlement File,CUST2568
TXN100115,2026-07-15,2026-07-17,Food Services,Purchase,INR,2724.02,Completed,REF200115,External Settlement File,CUST3644
TXN100116,2026-07-28,2026-07-29,Retailer A,Purchase,INR,2960.67,Completed,REF200116,External Settlement File,CUST4342
TXN100117,2026-07-23,2026-07-25,Retailer B,Purchase,USD,1166.49,Pending,REF200117,External Settlement File,CUST6224
TXN100118,2026-07-15,2026-07-16,Food Services,Purchase,INR,367.05,Completed,REF200118,External Settlement File,CUST5581
TXN100119,2026-07-26,2026-07-27,Digital Store,Purchase,INR,1336.76,Pending,REF200119,External Settlement File,CUST7164
TXN100120,2026-07-30,2026-08-01,Retailer B,Refund,USD,2758.46,Pending,REF200120,External Settlement File,CUST2722
TXN100121,2026-07-19,2026-07-21,Retailer A,Purchase,USD,1257.66,Completed,REF200121,External Settlement File,CUST3153
TXN100122,2026-07-21,2026-07-23,Travel Co,Purchase,GBP,556.16,Completed,REF200122,External Settlement File,CUST8567
TXN100123,2026-07-11,2026-07-12,Travel Co,Purchase,INR,1728.57,Completed,REF200123,External Settlement File,CUST5374
TXN100124,2026-07-22,2026-07-23,Travel Co,Refund,INR,3760.41,Completed,REF200124,External Settlement File,CUST2793
TXN100125,2026-07-25,2026-07-26,Digital Store,Purchase,INR,3462.9,Pending,REF200125,External Settlement File,CUST6985
TXN100126,2026-07-17,2026-07-18,Travel Co,Purchase,INR,1868.87,Completed,REF200126,External Settlement File,CUST7802
TXN100127,2026-07-13,2026-07-15,Digital Store,Purchase,INR,540.77,Completed,REF200127,External Settlement File,CUST3879
TXN100128,2026-07-11,2026-07-13,Digital Store,Purchase,EUR,803.69,Completed,REF200128,External Settlement File,CUST8284
TXN100129,2026-07-06,2026-07-07,Utility Co,Purchase,INR,1258.42,Completed,REF200129,External Settlement File,CUST1747
TXN100130,2026-07-11,2026-07-14,Travel Co,Purchase,INR,810.72,Completed,REF200130,External Settlement File,CUST1086
TXN100131,2026-07-12,2026-07-13,Food Services,Purchase,INR,2332.31,Reversed,REF200131,External Settlement File,CUST7716
TXN100132,2026-07-11,2026-07-14,Food Services,Purchase,INR,1274.27,Completed,REF200132,External Settlement File,CUST4088
TXN100133,2026-07-01,2026-07-03,Utility Co,Purchase,INR,783.75,Completed,REF200133,External Settlement File,CUST7835
TXN100134,2026-07-26,2026-07-27,Retailer B,Purchase,INR,1806.92,Completed,REF200134,External Settlement File,CUST5945
TXN100135,2026-07-13,2026-07-15,Retailer A,Purchase,INR,249.73,Completed,REF200135,External Settlement File,CUST5421
TXN100136,2026-07-16,2026-07-17,Food Services,Purchase,INR,1644.36,Completed,REF200136,External Settlement File,CUST6392
TXN100137,2026-07-15,2026-07-16,Retailer A,Refund,INR,720.07,Completed,REF200137,External Settlement File,CUST3069
TXN100138,2026-07-30,2026-07-31,Travel Co,Reversal,INR,1837.53,Completed,REF200138,External Settlement File,CUST3712
TXN100139,2026-07-15,2026-07-16,Food Services,Purchase,EUR,1844.54,Completed,REF200139,External Settlement File,CUST5621
TXN100140,2026-07-17,2026-07-18,Digital Store,Purchase,EUR,617.2,Pending,REF200140,External Settlement File,CUST3817
TXN100141,2026-07-02,2026-07-03,Digital Store,Purchase,USD,639.75,Completed,REF200141,External Settlement File,CUST3299
TXN100142,2026-07-03,2026-07-04,Utility Co,Purchase,INR,759.68,Completed,REF200142,External Settlement File,CUST2461
TXN100143,2026-07-05,2026-07-06,Retailer A,Purchase,INR,559.97,Completed,REF200143,External Settlement File,CUST7992
TXN100144,2026-07-03,2026-07-04,Digital Store,Purchase,INR,3395.61,Completed,REF200144,External Settlement File,CUST7709
TXN100145,2026-07-12,2026-07-13,Food Services,Purchase,INR,4444.24,Completed,REF200145,External Settlement File,CUST5585
TXN100146,2026-07-02,2026-07-05,Travel Co,Refund,INR,1517.25,Completed,REF200146,External Settlement File,CUST2274
TXN100147,2026-07-17,2026-07-19,Travel Co,Purchase,USD,522.51,Completed,REF200147,External Settlement File,CUST8909
TXN100148,2026-07-04,2026-07-05,Retailer A,Purchase,INR,174.82,Completed,REF200148,External Settlement File,CUST7816
TXN100149,2026-07-19,2026-07-22,Retailer A,Purchase,INR,475.2,Completed,REF200149,External Settlement File,CUST4798
TXN100150,2026-07-27,2026-07-30,Retailer B,Purchase,INR,887.41,Completed,REF200150,External Settlement File,CUST4063
TXN100151,2026-07-13,2026-07-14,Travel Co,Purchase,INR,2455.05,Pending,REF200151,External Settlement File,CUST5421
TXN100152,2026-07-02,2026-07-03,Retailer A,Refund,USD,773.2,Completed,REF200152,External Settlement File,CUST1875
TXN100153,2026-07-08,2026-07-10,Travel Co,Purchase,EUR,1820.97,Completed,REF200153,External Settlement File,CUST6767
TXN100154,2026-07-26,2026-07-27,Food Services,Refund,INR,1057.42,Reversed,REF200154,External Settlement File,CUST7234
TXN100155,2026-07-07,2026-07-09,Digital Store,Purchase,INR,462.46,Completed,REF200155,External Settlement File,CUST3245
TXN100156,2026-07-04,2026-07-05,Food Services,Purchase,INR,136.21,Reversed,REF200156,External Settlement File,CUST7682
TXN100157,2026-07-21,2026-07-24,Retailer B,Purchase,INR,910.95,Completed,REF200157,External Settlement File,CUST1881
TXN100158,2026-07-19,2026-07-20,Utility Co,Purchase,GBP,5058.72,Completed,REF200158,External Settlement File,CUST5982
TXN100159,2026-07-10,2026-07-11,Utility Co,Purchase,INR,1134.38,Completed,REF200159,External Settlement File,CUST6210
TXN100160,2026-07-15,2026-07-16,Digital Store,Purchase,INR,2051.31,Completed,REF200160,External Settlement File,CUST9167
TXN100161,2026-07-05,2026-07-06,Travel Co,Purchase,INR,752.12,Completed,REF200161,External Settlement File,CUST3646
TXN100162,2026-07-16,2026-07-18,Retailer B,Purchase,USD,2024.32,Completed,REF200162,External Settlement File,CUST5167
TXN100163,2026-07-16,2026-07-17,Retailer A,Reversal,INR,5491.04,Completed,REF200163,External Settlement File,CUST8432
TXN100164,2026-07-07,2026-07-08,Utility Co,Purchase,EUR,282.34,Completed,REF200164,External Settlement File,CUST2758
TXN100165,2026-07-29,2026-07-31,Retailer B,Purchase,USD,296.7,Completed,REF200165,External Settlement File,CUST3498
TXN100166,2026-07-11,2026-07-12,Food Services,Purchase,GBP,1056.79,Completed,REF200166,External Settlement File,CUST6667
TXN100167,2026-07-17,2026-07-19,Retailer A,Purchase,INR,274.24,Completed,REF200167,External Settlement File,CUST4073
TXN100168,2026-07-28,2026-07-30,Digital Store,Purchase,INR,2154.36,Completed,REF200168,External Settlement File,CUST7729
TXN100169,2026-07-12,2026-07-14,Food Services,Purchase,INR,1618.48,Completed,REF200169,External Settlement File,CUST5446
TXN100170,2026-07-23,2026-07-24,Travel Co,Purchase,INR,493.41,Completed,REF200170,External Settlement File,CUST5887
TXN100171,2026-07-16,2026-07-17,Digital Store,Purchase,INR,1585.69,Completed,REF200171,External Settlement File,CUST6607
TXN100172,2026-07-15,2026-07-17,Retailer A,Refund,INR,1001.2,Completed,REF200172,External Settlement File,CUST9493
TXN100173,2026-07-30,2026-07-31,Retailer B,Purchase,EUR,3641.2,Reversed,REF200173,External Settlement File,CUST4437
TXN100174,2026-07-22,2026-07-24,Travel Co,Purchase,USD,2938.06,Pending,REF200174,External Settlement File,CUST9015
TXN100175,2026-07-26,2026-07-28,Travel Co,Refund,INR,541.87,Completed,REF200175,External Settlement File,CUST2481
TXN100176,2026-07-20,2026-07-21,Food Services,Purchase,INR,1086.69,Completed,REF200176,External Settlement File,CUST2057
TXN100177,2026-07-16,2026-07-17,Retailer A,Purchase,INR,695.08,Completed,REF200177,External Settlement File,CUST5886
TXN100178,2026-07-07,2026-07-09,Retailer A,Purchase,INR,1844.3,Completed,REF200178,External Settlement File,CUST3699
TXN100179,2026-07-06,2026-07-07,Travel Co,Purchase,USD,14787.92,Completed,REF200179,External Settlement File,CUST9524
TXN100180,2026-07-24,2026-07-25,Retailer A,Purchase,INR,2151.55,Completed,REF200180,External Settlement File,CUST4422
TXN100181,2026-07-30,2026-07-31,Utility Co,Purchase,INR,873.98,Completed,REF200181,External Settlement File,CUST4872
TXN100182,2026-07-04,2026-07-07,Retailer B,Purchase,INR,733.87,Completed,REF200182,External Settlement File,CUST4086
TXN100183,2026-07-02,2026-07-03,Retailer B,Purchase,INR,795.04,Completed,REF200183,External Settlement File,CUST4021
TXN100184,2026-07-12,2026-07-13,Food Services,Purchase,INR,2939.27,Completed,REF200184,External Settlement File,CUST7628
TXN100185,2026-07-03,2026-07-05,Retailer A,Refund,INR,2375.32,Completed,REF200185,External Settlement File,CUST2343
TXN100186,2026-07-03,2026-07-04,Travel Co,Purchase,GBP,2358.01,Pending,REF200186,External Settlement File,CUST9009
TXN100187,2026-07-16,2026-07-19,Travel Co,Reversal,INR,870.89,Completed,REF200187,External Settlement File,CUST4793
TXN100188,2026-07-10,2026-07-12,Utility Co,Reversal,INR,211.68,Reversed,REF200188,External Settlement File,CUST3882
TXN100189,2026-07-26,2026-07-28,Retailer A,Purchase,EUR,257.77,Completed,REF200189,External Settlement File,CUST6683
TXN100190,2026-07-20,2026-07-23,Travel Co,Purchase,INR,259.39,Completed,REF200190,External Settlement File,CUST1316
TXN100191,2026-07-08,2026-07-09,Utility Co,Purchase,USD,1424.74,Pending,REF200191,External Settlement File,CUST3455
TXN100192,2026-07-01,2026-07-03,Food Services,Purchase,INR,1127.17,Completed,REF200192,External Settlement File,CUST7754
TXN100193,2026-07-27,2026-07-28,Retailer B,Purchase,EUR,1342.4,Completed,REF200193,External Settlement File,CUST4404
TXN100194,2026-07-09,2026-07-12,Retailer A,Purchase,EUR,840.91,Completed,REF200194,External Settlement File,CUST3969
TXN100195,2026-07-28,2026-07-29,Travel Co,Purchase,GBP,1892.59,Completed,REF200195,External Settlement File,CUST6850
TXN100196,2026-07-09,2026-07-11,Digital Store,Purchase,INR,6070.94,Completed,REF200196,External Settlement File,CUST6543
TXN100197,2026-07-03,2026-07-05,Retailer A,Purchase,EUR,775.61,Completed,REF200197,External Settlement File,CUST7739
TXN100198,2026-07-21,2026-07-22,Food Services,Purchase,INR,1230.33,Completed,REF200198,External Settlement File,CUST3513
TXN100199,2026-07-30,2026-08-01,Retailer A,Purchase,INR,150.12,Completed,REF200199,External Settlement File,CUST4005
TXN100200,2026-07-24,2026-07-25,Utility Co,Purchase,INR,837.1,Completed,REF200200,External Settlement File,CUST9895
TXN100201,2026-07-16,2026-07-19,Travel Co,Purchase,INR,272.35,Completed,REF200201,External Settlement File,CUST2610
TXN100202,2026-07-09,2026-07-11,Food Services,Purchase,INR,1960.55,Completed,REF200202,External Settlement File,CUST3539
TXN100203,2026-07-06,2026-07-08,Retailer A,Purchase,INR,473.83,Completed,REF200203,External Settlement File,CUST5902
TXN100205,2026-07-13,2026-07-15,Utility Co,Purchase,USD,485.02,Completed,REF200205,External Settlement File,CUST5162
TXN100206,2026-07-09,2026-07-11,Retailer A,Purchase,INR,690.38,Completed,REF200206,External Settlement File,CUST5885
TXN100207,2026-07-08,2026-07-09,Retailer B,Purchase,INR,906.52,Completed,REF200207,External Settlement File,CUST1536
TXN100208,2026-07-05,2026-07-07,Digital Store,Purchase,INR,1203.4,Pending,REF200208,External Settlement File,CUST7033
TXN100209,2026-07-23,2026-07-25,Retailer B,Purchase,INR,1438.89,Reversed,REF200209,External Settlement File,CUST6748
TXN100210,2026-07-04,2026-07-06,Utility Co,Purchase,USD,3048.02,Completed,REF200210,External Settlement File,CUST9668
TXN100211,2026-07-10,2026-07-11,Retailer B,Reversal,INR,897.75,Completed,REF200211,External Settlement File,CUST9327
TXN100212,2026-07-11,2026-07-12,Utility Co,Purchase,INR,1545.6,Pending,REF200212,External Settlement File,CUST8226
TXN100213,2026-07-25,2026-07-26,Travel Co,Purchase,INR,1059.19,Completed,REF200213,External Settlement File,CUST9920
TXN100214,2026-07-29,2026-07-31,Travel Co,Purchase,INR,1500.58,Completed,REF200214,External Settlement File,CUST2190
TXN100215,2026-07-10,2026-07-11,Digital Store,Reversal,GBP,503.51,Completed,REF200215,External Settlement File,CUST7338
TXN100216,2026-07-02,2026-07-03,Digital Store,Refund,INR,3697.35,Completed,REF200216,External Settlement File,CUST8825
TXN100217,2026-07-17,2026-07-19,Retailer A,Purchase,INR,655.05,Completed,REF200217,External Settlement File,CUST4580
TXN100218,2026-07-23,2026-07-24,Food Services,Purchase,INR,619.65,Completed,REF200218,External Settlement File,CUST2921
TXN100219,2026-07-17,2026-07-18,Travel Co,Purchase,USD,2737.71,Completed,REF200219,External Settlement File,CUST2973
TXN100220,2026-07-24,2026-07-25,Retailer B,Purchase,EUR,1652.58,Completed,REF200220,External Settlement File,CUST1449
TXN100221,2026-07-02,2026-07-05,Food Services,Purchase,INR,1893.23,Pending,REF200221,External Settlement File,CUST2642
TXN100222,2026-07-29,2026-07-31,Retailer A,Purchase,INR,693.76,Completed,REF200222,External Settlement File,CUST4853
TXN100223,2026-07-15,2026-07-18,Retailer B,Refund,INR,839.63,Pending,REF200223,External Settlement File,CUST1442
TXN100224,2026-07-21,2026-07-23,Retailer B,Purchase,USD,1728.06,Completed,REF200224,External Settlement File,CUST6247
TXN100225,2026-07-30,2026-08-01,Retailer A,Purchase,USD,895.49,Completed,REF200225,External Settlement File,CUST2486
TXN100226,2026-07-31,2026-08-01,Retailer B,Purchase,INR,2210.43,Reversed,REF200226,External Settlement File,CUST1097
TXN100227,2026-07-30,2026-07-31,Travel Co,Purchase,INR,2115.61,Completed,REF200227,External Settlement File,CUST7662
TXN100228,2026-07-14,2026-07-16,Travel Co,Refund,INR,2973.06,Completed,REF200228,External Settlement File,CUST1231
TXN100229,2026-07-21,2026-07-22,Utility Co,Purchase,INR,843.02,Completed,REF200229,External Settlement File,CUST9256
TXN100230,2026-07-13,2026-07-14,Retailer B,Purchase,USD,782.27,Completed,REF200230,External Settlement File,CUST8276
TXN100231,2026-07-24,2026-07-25,Retailer A,Purchase,INR,364.81,Pending,REF200231,External Settlement File,CUST4044
